,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
0,A. Rendon3B,4,0,0,0,0,0,2,.000,.000,.000,G. HendersonSS,4,1,1,0,0,1,1,.250,.400,.250
1,A. HicksRF,3,0,0,0,0,1,2,.000,.250,.000,A. RutschmanC,4,3,2,2,0,1,0,.500,.600,.500
2,M. TroutCF,3,1,1,1,1,0,1,.333,.333,1.333,R. Mountcastle1B,3,0,1,1,0,1,1,.333,.400,.333
3,M. MoniakCF,1,0,0,0,0,0,0,.000,.000,.000,A. SantanderRF,4,1,1,4,1,0,0,.250,.200,1.000
4,T. WardLF,4,0,0,0,0,0,2,.000,.000,.000,C. CowserRF,0,0,0,0,0,0,0,.000,.000,.000
5,B. Drury2B,2,0,0,0,0,0,1,.000,.000,.000,A. HaysLF,4,1,1,0,0,1,2,.250,.400,.250
6,aL. RengifoPH-2B,1,1,1,0,0,0,0,1.000,1.000,2.000,J. WestburgDH,3,0,1,1,0,0,0,.333,.333,.333
7,N. Schanuel1B,2,1,0,0,0,1,1,.000,.333,.000,aR. O'HearnPH-DH,1,1,1,0,0,0,0,1.000,1.000,2.000
8,M. SanoDH,2,0,0,0,0,0,2,.000,.000,.000,C. MullinsCF,4,1,1,3,1,0,0,.250,.250,1.000
9,bJ. AdellPH-DH,1,0,0,0,0,0,1,.000,.000,.000,R. Urias3B,3,1,0,0,0,1,0,.000,.250,.000
10,L. O'HoppeC,2,0,0,0,0,1,0,.000,.333,.000,J. Mateo2B,3,2,1,0,0,1,1,.333,.500,.667
11,Z. NetoSS,3,0,0,1,0,0,2,.000,.000,.000,team,33,11,10,11,2,6,5,,,
12,team,28,3,2,2,1,3,14,,,,,,,,,,,,,,
13,gameId: 401568471,,,,,,,,,,,,,,,,,,,,,
14,I. HappLF,4,0,0,0,0,1,1,.000,.200,.000,M. Semien2B,4,0,0,0,0,1,2,.000,.200,.000
15,S. SuzukiRF,5,1,1,0,0,0,0,.200,.200,.400,C. SeagerSS,5,0,1,0,0,0,1,.200,.200,.200
16,C. BellingerCF,4,0,1,1,0,1,1,.250,.400,.500,J. Jung3B,3,2,1,0,0,2,0,.333,.600,.667
17,C. MorelDH,5,1,2,0,0,0,1,.400,.400,.800,A. GarcíaRF,4,1,2,1,1,1,1,.500,.600,1.250
18,D. SwansonSS,3,0,0,1,0,0,1,.000,.000,.000,W. LangfordDH,3,0,1,1,0,1,1,.333,.400,.333
19,M. Busch1B,2,1,1,0,0,2,1,.500,.750,.500,J. HeimC,5,0,1,1,0,0,2,.200,.200,.200
20,N. Hoerner2B,2,0,0,0,0,1,1,.000,.500,.000,E. Duran1B,3,0,1,0,0,0,2,.333,.333,.667
21,N. Madrigal3B,3,0,1,0,0,0,0,.333,.333,.667,aT. JankowskiPH-CF,1,1,1,1,1,0,0,1.000,1.000,4.000
22,aM. MastrobuoniPH-3B,1,0,0,0,0,0,0,.000,.000,.000,E. CarterLF,3,0,0,0,0,1,0,.000,.250,.000
23,Y. GomesC,3,0,0,0,0,0,1,.000,.000,.000,L. TaverasCF,3,0,0,0,0,0,1,.000,.000,.000
24,bG. CooperPH,1,0,0,0,0,0,1,.000,.000,.000,J. Walsh1B,0,0,0,0,0,0,0,.000,.000,.000
25,M. AmayaC,0,0,0,0,0,0,0,.000,.000,.000,team,34,4,8,4,2,6,10,,,
26,team,33,3,6,2,0,5,8,,,,,,,,,,,,,,
27,gameId: 401568474,,,,,,,,,,,,,,,,,,,,,
28,S. KwanLF,5,1,1,0,0,0,1,.200,.200,.200,R. Noda1B,3,0,0,0,0,0,2,.000,.000,.000
29,J. Ramirez3B,5,1,1,1,0,0,0,.200,.200,.600,aD. HernaizPH-3B,1,0,0,0,0,0,0,.000,.000,.000
30,R. LaureanoRF,4,0,0,0,0,1,2,.000,.200,.000,Z. Gelof2B,4,0,0,0,0,0,2,.000,.000,.000
31,J. Naylor1B,3,1,1,0,0,1,1,.333,.600,.667,J. BledayCF,4,0,2,0,0,0,1,.500,.500,.750
32,D. FryDH,4,2,3,1,0,0,0,.750,.600,1.000,B. RookerDH,4,0,0,0,0,0,3,.000,.000,.000
33,T. FreemanCF,4,1,2,1,0,0,0,.500,.600,.750,S. BrownLF-RF,3,0,0,0,0,0,1,.000,.000,.000
34,A. Gimenez2B,3,1,1,1,0,0,0,.333,.500,.333,J.D. Davis3B-1B,3,0,1,0,0,0,1,.333,.333,.333
35,A. HedgesC,4,1,1,1,0,0,2,.250,.250,.250,S. LangeliersC,3,0,0,0,0,0,1,.000,.000,.000
36,B. RocchioSS,3,0,1,2,0,1,1,.333,.500,.667,L. ButlerRF,1,0,0,0,0,1,1,.000,.500,.000
37,team,35,8,11,7,0,3,7,,,,bE. RuizPH-LF,1,0,0,0,0,0,0,.000,.000,.000
38,,,,,,,,,,,,N. AllenSS,3,0,1,0,0,0,1,.333,.333,.333
39,,,,,,,,,,,,team,30,0,4,0,0,1,13,,,
40,gameId: 401568475,,,,,,,,,,,,,,,,,,,,,
41,C. BlackmonRF,2,0,0,0,0,1,0,.000,.333,.000,K. Marte2B,5,3,3,1,0,0,0,.600,.600,.600
42,J. CaveRF,1,0,0,0,0,0,0,.000,.000,.000,J. Peterson2B,0,0,0,0,0,0,0,.000,.000,.000
43,K. Bryant1B,2,0,0,0,0,0,0,.000,.333,.000,C. CarrollRF,3,2,0,0,0,2,0,.000,.400,.000
44,M. Toglia1B,1,0,0,0,0,0,0,.000,.000,.000,L. Gurriel Jr.LF,5,3,3,5,1,0,2,.600,.600,1.200
45,N. JonesLF,4,0,0,0,0,0,2,.000,.000,.000,J. McCarthyLF,0,0,0,0,0,0,0,.000,.000,.000
46,B. Rodgers2B,4,1,1,0,0,0,0,.250,.250,.500,C. Walker1B,4,2,2,2,0,1,2,.500,.600,.750
47,R. McMahon3B,2,0,2,1,0,2,0,1.000,1.000,1.500,G. MorenoC,5,2,2,3,0,0,1,.400,.400,.600
48,E. DiazC,3,0,1,0,0,0,1,.333,.333,.333,E. Suarez3B,4,1,2,2,0,0,1,.500,.400,.500
49,J. StallingsC,1,0,0,0,0,0,0,.000,.000,.000,B. AlexanderDH-SS,5,0,2,1,0,0,2,.400,.400,.400
50,E. TovarSS,4,0,0,0,0,0,1,.000,.000,.000,A. ThomasCF,5,1,2,1,0,0,1,.400,.400,.600
51,E. MonteroDH,3,0,0,0,0,0,1,.000,.000,.000,G. PerdomoSS,4,2,2,1,0,0,0,.500,.500,.500
52,B. DoyleCF,3,0,0,0,0,0,1,.000,.000,.000,L. FriasP,0,0,0,0,0,0,0,.000,.000,.000
53,team,30,1,4,1,0,3,6,,,,team,40,16,18,16,1,3,9,,,
54,gameId: 401568476,,,,,,,,,,,,,,,,,,,,,
55,A. Ibanez3B,2,0,1,1,0,0,1,.500,.333,.500,A. BenintendiLF,4,0,0,0,0,0,2,.000,.000,.000
56,aK. CarpenterPH,0,0,0,0,0,0,0,.000,1.000,.000,Y. Moncada3B,4,0,0,0,0,0,1,.000,.000,.000
57,G. Urshela3B,0,0,0,0,0,0,0,.000,.000,.000,L. Robert Jr.CF,4,0,1,0,0,0,2,.250,.250,.250
58,S. Torkelson1B,4,0,2,0,0,0,0,.500,.500,.500,E. JimenezDH,3,0,1,0,0,0,0,.333,.333,.333
59,R. GreeneLF,4,0,0,0,0,0,2,.000,.000,.000,A. Vaughn1B,3,0,1,0,0,0,2,.333,.333,.333
60,M. CanhaDH,3,0,0,0,0,1,2,.000,.250,.000,P. DeJongSS,3,0,0,0,0,0,2,.000,.000,.000
61,M. VierlingRF,4,0,1,0,0,0,3,.250,.250,.250,K. PillarRF,3,0,0,0,0,0,1,.000,.000,.000
62,C. Keith2B,4,0,1,0,0,0,0,.250,.250,.250,M. MaldonadoC,3,0,0,0,0,0,1,.000,.000,.000
63,J. RogersC,4,0,0,0,0,0,1,.000,.000,.000,N. Lopez2B,3,0,0,0,0,0,0,.000,.000,.000
64,J. BaezSS,4,1,1,0,0,0,1,.250,.250,.250,team,30,0,3,0,0,0,11,,,
65,P. MeadowsCF,3,0,0,0,0,0,1,.000,.000,.000,,,,,,,,,,,
66,team,32,1,6,1,0,1,11,,,,,,,,,,,,,,
67,gameId: 401568477,,,,,,,,,,,,,,,,,,,,,
68,G. Torres2B,4,1,0,0,0,1,1,.000,.200,.000,J. Altuve2B,5,0,1,0,0,0,2,.200,.200,.200
69,J. SotoRF,3,0,1,1,0,2,1,.333,.600,.333,Y. AlvarezDH,5,1,2,0,0,0,0,.400,.400,.400
70,A. JudgeCF,4,1,1,0,0,1,2,.250,.400,.500,K. TuckerRF,4,1,1,0,0,1,2,.250,.400,.250
71,G. StantonDH,5,0,1,0,0,0,2,.200,.200,.200,A. Bregman3B,5,0,1,0,0,0,0,.200,.200,.200
72,A. Rizzo1B,3,0,1,1,0,1,1,.333,.600,.333,J. Abreu1B,3,1,0,0,0,1,1,.000,.250,.000
73,A. VolpeSS,2,0,1,1,0,3,1,.500,.800,.500,C. McCormickLF,4,0,1,2,0,0,1,.250,.250,.250
74,A. VerdugoLF,3,0,1,1,0,0,0,.333,.250,.333,Y. DiazC,4,0,3,1,0,0,0,.750,.750,.750
75,J. TrevinoC,3,1,0,0,0,1,1,.000,.250,.000,J. PenaSS,4,0,2,0,0,0,0,.500,.500,.750
76,O. Cabrera3B,4,2,2,1,1,0,1,.500,.500,1.250,J. MeyersCF,2,1,1,1,1,0,1,.500,.500,2.000
77,team,31,5,8,5,1,9,10,,,,aJ. SingletonPH,1,0,0,0,0,0,0,.000,.000,.000
78,,,,,,,,,,,,M. DubonCF,1,0,1,0,0,0,0,1.000,1.000,1.000
79,,,,,,,,,,,,team,38,4,13,4,1,2,7,,,
80,gameId: 401568480,,,,,,,,,,,,,,,,,,,,,
81,C. JoeRF-1B,4,1,0,0,0,2,0,.000,.333,.000,L. Arraez2B,6,0,0,0,0,0,1,.000,.000,.000
82,B. ReynoldsLF-RF,5,1,2,2,1,1,2,.400,.500,1.200,J. Bell1B,4,1,2,0,0,1,1,.500,.667,.500
83,K. Hayes3B,4,1,2,0,0,2,1,.500,.667,.750,B. De La CruzDH,6,1,1,0,0,0,1,.167,.167,.167
84,A. McCutchenDH,5,0,0,1,0,1,4,.000,.167,.000,J. Chisholm Jr.CF,3,2,1,0,0,2,0,.333,.600,.667
85,H. DavisC,6,0,1,0,0,0,1,.167,.167,.167,J. Burger3B,4,1,3,3,0,0,0,.750,.600,.750
86,O. CruzSS,5,1,1,1,1,1,3,.200,.333,.800,J. SánchezRF,3,0,0,1,0,0,0,.000,.000,.000
87,J. Triolo2B,6,0,1,1,0,0,2,.167,.167,.167,aA. GarciaPH-RF,2,0,0,0,0,0,1,.000,.000,.000
88,R. Tellez1B,2,0,0,0,0,0,2,.000,.000,.000,Tim AndersonSS,5,0,1,1,0,0,1,.200,.200,.400
89,aE. OlivaresPH-RF,1,1,1,1,1,0,0,1.000,1.000,4.000,N. GordonLF,3,0,0,0,0,0,1,.000,.000,.000
90,bJ. SuwinskiPH-LF,1,0,0,0,0,1,0,.000,.500,.000,bV. BrujanPH-LF,1,0,0,0,0,1,1,.000,.500,.000
91,M. TaylorCF,5,1,1,0,0,0,2,.200,.200,.200,N. FortesC,3,0,0,0,0,0,0,.000,.250,.000
92,team,44,6,9,6,3,8,17,,,,cJ. BridePH,1,0,0,0,0,0,0,.000,.000,.000
93,,,,,,,,,,,,C. BethancourtC,0,0,0,0,0,0,0,.000,.000,.000
94,,,,,,,,,,,,team,41,5,8,5,0,4,7,,,
95,gameId: 401568481,,,,,,,,,,,,,,,,,,,,,
96,B. DonovanLF,4,0,0,0,0,0,0,.000,.000,.000,M. BettsSS-2B,2,3,1,1,1,2,0,.636,.733,1.273
97,P. Goldschmidt1B,4,1,3,1,1,0,1,.750,.750,1.500,S. OhtaniDH,3,1,2,0,0,1,1,.385,.400,.462
98,N. Gorman2B,4,0,0,0,0,0,2,.000,.000,.000,F. Freeman1B,3,2,2,3,1,1,1,.333,.600,.667
99,N. Arenado3B,4,0,0,0,0,0,0,.000,.000,.000,W. SmithC,4,0,1,0,0,0,0,.429,.467,.500
100,W. ContrerasC,3,0,0,0,0,1,0,.000,.250,.000,M. Muncy3B,3,0,1,2,0,0,2,.333,.400,.417
101,A. BurlesonDH,3,0,0,0,0,0,1,.000,.000,.000,T. HernándezLF-RF,4,1,1,0,0,0,3,.167,.286,.250
102,J. WalkerRF,3,0,0,0,0,0,1,.000,.000,.000,J. OutmanCF,3,0,2,1,0,0,1,.222,.462,.222
103,V. Scott IICF,3,0,0,0,0,0,1,.000,.000,.000,aC. TaylorPH-LF,1,0,0,0,0,0,0,.000,.000,.000
104,M. WinnSS,3,0,0,0,0,0,0,.000,.000,.000,J. HeywardRF,3,0,0,0,0,0,0,.222,.200,.222
105,team,31,1,3,1,1,1,6,,,,bE. HernándezPH-CF,1,0,0,0,0,0,1,.000,.250,.000
106,,,,,,,,,,,,G. Lux2B,3,0,0,0,0,0,1,.154,.154,.154
107,,,,,,,,,,,,cM. RojasPH-SS,1,0,0,0,0,0,0,.000,.000,.000
108,,,,,,,,,,,,team,31,7,10,7,2,4,10,,,
109,gameId: 401568483,,,,,,,,,,,,,,,,,,,,,
110,G. SpringerRF,4,2,1,1,1,1,0,.250,.400,1.000,Y. Diaz1B,4,1,3,2,1,0,0,.750,.750,1.750
111,V. Guerrero Jr.1B,5,1,1,1,1,0,1,.200,.200,.800,B. Lowe2B,3,0,1,0,0,1,1,.333,.500,.333
112,B. BichetteSS,4,1,2,2,0,1,1,.500,.600,.750,R. ArozarenaLF,4,0,0,0,0,0,2,.000,.000,.000
113,J. TurnerDH,4,1,0,0,0,0,1,.000,.200,.000,H. RamirezDH,4,0,0,0,0,0,1,.000,.000,.000
114,D. VarshoLF,3,1,0,0,0,1,1,.000,.250,.000,I. Paredes3B,4,0,0,0,0,0,1,.000,.000,.000
115,A. KirkC,3,0,1,2,0,1,1,.333,.500,.333,R. PalaciosRF,2,0,0,0,0,1,1,.000,.333,.000
116,K. KiermaierCF,3,0,1,1,0,1,1,.333,.500,.333,aA. RosarioPH,1,0,1,0,0,0,0,1.000,1.000,2.000
117,I. Kiner-Falefa3B,4,0,0,0,0,0,0,.000,.000,.000,J. SiriCF,4,0,1,0,0,0,2,.250,.250,.250
118,C. Biggio2B,2,2,1,1,1,2,1,.500,.750,2.000,J. CaballeroSS,4,0,1,0,0,0,2,.250,.250,.250
119,team,32,8,7,8,3,7,7,,,,R. PintoC,3,1,1,0,0,0,1,.333,.333,.667
120,,,,,,,,,,,,team,33,2,8,2,1,2,11,,,
121,gameId: 401568484,,,,,,,,,,,,,,,,,,,,,
122,J. DuranLF,3,0,0,0,0,1,2,.125,.222,.125,J.P. CrawfordSS,3,1,1,1,1,1,0,.143,.250,.571
123,T. O'NeillRF,4,0,1,0,0,0,1,.286,.375,.714,J. RodriguezCF,3,0,1,0,0,1,1,.286,.375,.429
124,M. YoshidaDH,3,0,1,0,0,1,1,.286,.375,.429,J. Polanco2B,4,0,0,0,0,0,3,.143,.250,.143
125,T. StorySS,4,0,0,0,0,0,1,.125,.222,.125,M. HanigerDH,3,0,0,0,0,0,2,.333,.429,.833
126,T. Casas1B,4,0,0,0,0,0,2,.111,.111,.111,C. RaleighC,3,0,0,0,0,0,1,.143,.143,.143
127,C. RafaelaCF,4,0,1,0,0,0,2,.250,.250,.500,T. France1B,3,0,1,0,0,0,2,.143,.143,.143
128,En. Valdez2B,2,0,0,0,0,0,0,.250,.250,.250,D. CanzoneLF,3,0,0,0,0,0,2,.000,.000,.000
129,aP. ReyesPH-2B,2,0,1,0,0,0,1,.250,.250,.250,L. Urias3B,3,0,0,0,0,0,2,.000,.000,.000
130,B. Dalbec3B,3,0,0,0,0,0,2,.000,.000,.000,L. RaleyRF,3,0,1,0,0,0,1,.250,.250,.250
131,R. McGuireC,2,0,0,0,0,1,1,.000,.333,.000,team,28,1,4,1,1,2,14,,,
132,team,31,0,4,0,0,3,13,,,,,,,,,,,,,,
133,gameId: 401568486,,,,,,,,,,,,,,,,,,,,,
134,S. KwanLF,5,2,2,0,0,0,1,.300,.300,.400,E. RuizLF,2,0,1,1,0,0,0,.333,.250,.667
135,A. Gimenez2B,3,2,3,2,0,2,0,.667,.778,1.000,bS. BrownPH-LF,0,1,0,0,0,1,0,.000,.250,.000
136,J. Ramirez3B,5,1,1,2,1,0,0,.200,.200,.700,Z. Gelof2B,3,0,0,0,0,1,2,.000,.125,.000
137,J. Naylor1B,5,1,2,0,0,0,0,.375,.500,.625,J.D. Davis1B-3B,4,2,2,2,2,0,1,.429,.429,1.286
138,W. BrennanRF,4,0,1,1,0,0,0,.250,.250,.250,S. LangeliersC,3,0,2,1,0,0,0,.333,.286,.333
139,T. FreemanCF,3,0,0,0,0,1,1,.286,.444,.429,A. ToroDH,4,0,0,0,0,0,0,.000,.000,.000
140,B. NaylorC,3,0,0,0,0,1,2,.000,.250,.000,J. BledayCF,4,0,0,0,0,0,1,.250,.250,.375
141,E. FlorialDH,3,0,0,0,0,1,2,.000,.250,.000,D. Hernaiz3B,2,0,0,0,0,0,0,.000,.000,.000
142,B. RocchioSS,3,0,0,0,0,1,3,.167,.375,.333,aR. NodaPH-1B,2,0,1,0,0,0,1,.200,.200,.200
143,team,34,6,9,5,1,6,9,,,,N. AllenSS,4,1,2,0,0,0,0,.429,.429,.571
144,,,,,,,,,,,,L. ButlerRF,4,0,0,0,0,0,0,.000,.167,.000
145,,,,,,,,,,,,team,32,4,8,4,2,2,5,,,
146,gameId: 401568487,,,,,,,,,,,,,,,,,,,,,
147,C. BlackmonDH,4,1,1,1,0,0,0,.167,.286,.500,C. CarrollRF,4,0,1,0,0,1,0,.143,.400,.143
148,K. BryantRF,4,0,0,0,0,0,3,.000,.143,.000,K. Marte2B,4,1,3,0,0,1,0,.667,.700,.667
149,N. JonesLF,4,0,1,0,0,0,1,.125,.125,.250,L. Gurriel Jr.LF,4,1,1,1,1,1,1,.444,.500,1.111
150,B. Rodgers2B,4,0,0,0,0,0,3,.125,.125,.250,C. Walker1B,5,1,1,1,1,0,0,.333,.400,.778
151,R. McMahon3B,4,0,2,0,0,0,0,.667,.750,.833,J. PedersonDH,4,1,4,1,0,0,0,1.000,1.000,1.250
152,E. DiazC,4,1,1,1,1,0,0,.286,.286,.714,G. MorenoC,3,1,0,0,0,1,0,.250,.333,.375
153,E. TovarSS,3,0,1,0,0,0,1,.143,.143,.143,E. Suarez3B,4,1,2,1,0,0,0,.500,.444,.500
154,E. Montero1B,3,0,0,0,0,0,1,.000,.000,.000,A. ThomasCF,4,1,1,3,1,0,1,.333,.333,.778
155,B. DoyleCF,3,1,1,0,0,0,2,.167,.167,.167,G. PerdomoSS,4,0,1,0,0,0,0,.375,.375,.500
156,team,33,3,7,2,1,0,11,,,,team,36,7,14,7,3,4,2,,,
157,gameId: 401568488,,,,,,,,,,,,,,,,,,,,,
158,G. Torres2B,3,0,0,0,0,0,2,.000,.222,.000,J. Altuve2B,5,1,2,0,0,0,0,.300,.300,.400
159,J. Jones2B,1,0,0,0,0,0,1,.000,.000,.000,Y. AlvarezDH,4,0,0,0,0,1,1,.222,.300,.222
160,J. SotoRF,4,0,3,1,0,1,0,.571,.700,.714,K. TuckerRF,5,0,2,0,0,0,1,.333,.400,.333
161,A. JudgeCF,5,0,0,0,0,0,1,.111,.200,.222,A. Bregman3B,2,0,1,1,0,2,0,.286,.444,.286
162,A. Rizzo1B,4,1,1,0,0,1,0,.286,.500,.286,J. Abreu1B,4,0,0,0,0,0,1,.000,.125,.000
163,G. StantonDH,5,1,1,1,1,0,2,.200,.200,.500,C. McCormickLF,3,0,0,0,0,1,2,.143,.250,.143
164,A. VerdugoLF,4,1,1,0,0,1,1,.286,.333,.286,Y. DiazC,3,0,1,0,0,1,0,.571,.625,.571
165,A. VolpeSS,4,2,1,0,0,1,1,.333,.600,.500,J. PenaSS,4,0,1,0,0,0,1,.375,.375,.500
166,A. WellsC,4,2,1,0,0,1,0,.250,.400,.250,J. MeyersCF,3,0,0,0,0,1,0,.200,.333,.800
167,O. Cabrera3B,5,0,4,3,0,0,1,.667,.667,1.111,team,33,1,7,1,0,6,6,,,
168,team,39,7,12,5,1,5,9,,,,,,,,,,,,,,
169,gameId: 401568489,,,,,,,,,,,,,,,,,,,,,
170,C. Joe1B,5,1,2,1,0,0,1,.222,.364,.333,L. Arraez2B,4,1,0,0,0,1,0,.000,.091,.000
171,R. Tellez1B,0,0,0,0,0,0,0,.000,.000,.000,J. BellDH,3,0,1,0,0,1,0,.429,.600,.571
172,B. ReynoldsLF-RF,4,1,1,0,0,1,1,.333,.455,.778,J. Burger1B,4,0,2,1,0,0,1,.625,.556,.625
173,K. Hayes3B,3,2,2,2,0,1,0,.571,.636,.857,B. De La CruzLF,4,0,2,0,0,0,1,.300,.300,.300
174,A. McCutchenDH,4,0,0,0,0,1,1,.000,.182,.000,J. Chisholm Jr.CF,4,0,0,0,0,0,3,.143,.333,.286
175,E. OlivaresRF,2,1,1,1,0,1,0,.667,.750,1.667,Tim AndersonSS,3,1,2,0,0,1,1,.375,.444,.500
176,aJ. SuwinskiPH-LF,2,0,0,0,0,0,0,.000,.250,.000,A. GarciaRF,4,0,1,0,0,0,0,.167,.167,.167
177,H. DavisC,4,1,1,0,0,1,2,.200,.273,.200,J. Bride3B,3,0,1,0,0,1,0,.250,.400,.250
178,O. CruzSS,5,0,2,1,0,0,3,.300,.364,.600,C. BethancourtC,4,0,0,1,0,0,1,.000,.000,.000
179,J. Triolo2B,3,0,0,1,0,1,0,.111,.200,.111,team,33,2,9,2,0,4,7,,,
180,M. TaylorCF,2,1,1,1,0,1,1,.286,.333,.429,,,,,,,,,,,
181,team,34,7,10,7,0,7,9,,,,,,,,,,,,,,
182,gameId: 401568490,,,,,,,,,,,,,,,,,,,,,
183,J. LeeCF,5,0,2,1,0,0,0,.375,.333,.375,X. Bogaerts2B,4,0,0,0,0,0,1,.353,.389,.353
184,J. SolerDH,4,2,1,0,0,1,0,.143,.333,.286,F. Tatis Jr.RF,4,2,2,2,2,0,1,.375,.444,.750
185,L. Wade Jr.RF,5,1,2,0,0,0,3,.429,.429,.429,J. Cronenworth1B,3,0,1,0,0,0,1,.400,.444,.667
186,A. SlaterRF,0,0,0,0,0,0,0,.000,.000,.000,M. MachadoDH,4,1,1,1,1,0,1,.143,.333,.571
187,M. Chapman3B,5,3,3,5,2,0,0,.444,.444,1.222,H. KimSS,4,0,2,0,0,0,0,.214,.333,.214
188,W. Flores1B,4,1,1,1,0,0,0,.167,.286,.167,J. ProfarLF,4,0,0,0,0,0,0,.182,.308,.182
189,M. ConfortoLF,5,0,1,0,0,0,2,.444,.444,.889,L. CampusanoC,4,0,1,0,0,0,0,.333,.333,.444
190,T. Estrada2B,4,0,1,1,0,0,1,.250,.250,.250,E. Rosario3B,2,0,1,0,0,0,0,.167,.167,.333
191,P. BaileyC,3,1,2,0,0,1,0,.333,.429,.333,aT. WadePH-3B,1,0,0,0,0,0,0,.444,.500,.444
192,N. AhmedSS,3,0,0,0,0,0,1,.333,.429,.500,J. AzocarCF,2,0,1,0,0,0,1,.333,.333,.333
193,team,38,8,13,8,2,2,7,,,,bJ. MerrillPH-CF,1,0,0,0,0,0,0,.182,.250,.273
194,,,,,,,,,,,,team,33,3,9,3,3,0,5,,,
195,gameId: 401568491,,,,,,,,,,,,,,,,,,,,,
196,B. DonovanLF,3,1,0,0,0,0,2,.000,.125,.000,M. Betts2B,3,1,1,1,1,1,2,.571,.684,1.286
197,P. Goldschmidt1B,2,1,0,0,0,2,1,.500,.625,1.000,S. OhtaniDH,4,0,0,0,0,0,1,.294,.316,.353
198,N. Gorman2B,4,0,2,2,0,0,2,.250,.250,.375,F. Freeman1B,4,0,0,0,0,0,1,.231,.474,.462
199,N. Arenado3B,3,0,0,1,0,0,0,.000,.000,.000,W. SmithC,3,1,1,0,0,1,0,.412,.474,.529
200,W. ContrerasC,4,0,1,0,0,0,3,.143,.250,.143,M. Muncy3B,4,1,1,0,0,0,1,.313,.368,.375
201,A. BurlesonDH,4,0,0,0,0,0,1,.000,.000,.000,T. HernándezRF,3,2,2,4,2,0,1,.267,.353,.733
202,J. WalkerRF,4,0,1,0,0,0,2,.143,.143,.143,E. HernándezCF,3,0,0,0,0,0,0,.000,.143,.000
203,V. Scott IICF,4,0,0,0,0,0,3,.000,.000,.000,C. TaylorLF,3,0,0,0,0,0,3,.000,.000,.000
204,M. WinnSS,3,1,2,0,0,0,0,.333,.333,.333,M. RojasSS,3,1,2,1,1,0,0,.500,.500,1.250
205,aM. CarpenterPH,1,0,0,0,0,0,0,.000,.000,.000,team,30,6,7,6,4,2,9,,,
206,team,32,3,6,3,0,2,14,,,,,,,,,,,,,,
207,gameId: 401568492,,,,,,,,,,,,,,,,,,,,,
208,G. SpringerRF,4,1,1,1,1,0,1,.250,.333,1.000,Y. Diaz1B,5,2,2,2,0,0,1,.556,.556,1.000
209,V. Guerrero Jr.1B,3,0,2,0,0,1,0,.375,.444,.750,B. Lowe2B,5,1,2,4,1,0,2,.375,.444,.750
210,B. BichetteSS,4,0,0,0,0,0,1,.250,.333,.375,R. ArozarenaLF,4,0,2,1,0,0,1,.250,.250,.250
211,J. TurnerDH,4,1,1,0,0,0,1,.125,.222,.250,I. Paredes3B,4,0,0,0,0,0,2,.000,.000,.000
212,D. VarshoLF,4,0,1,0,0,0,0,.143,.250,.143,R. PalaciosRF,2,0,0,0,0,2,0,.000,.429,.000
213,A. KirkC,3,0,0,1,0,0,0,.167,.250,.167,H. RamirezDH,4,0,0,0,0,0,0,.000,.000,.000
214,K. KiermaierCF,4,0,0,0,0,0,2,.143,.250,.143,J. SiriCF,4,1,1,0,0,0,1,.250,.250,.250
215,I. Kiner-Falefa3B,2,0,1,0,0,0,1,.167,.167,.167,B. RortvedtC,3,2,2,0,0,1,0,.667,.750,.667
216,aD. VogelbachPH,1,0,0,0,0,0,0,.000,.000,.000,J. CaballeroSS,3,2,1,1,0,0,0,.286,.375,.429
217,E. Clement3B,0,0,0,0,0,0,0,.000,.000,.000,team,34,8,10,8,1,3,7,,,
218,C. Biggio2B,3,0,0,0,0,0,1,.200,.429,.800,,,,,,,,,,,
219,team,32,2,6,2,1,1,7,,,,,,,,,,,,,,
220,gameId: 401568493,,,,,,,,,,,,,,,,,,,,,
221,A. Rendon3B,3,0,0,0,0,0,1,.000,.000,.000,G. HendersonSS,4,2,3,3,1,0,0,.500,.556,1.125
222,L. Rengifo3B,2,0,0,0,0,0,1,.333,.333,.667,aT. KempPH-2B,1,0,0,0,0,0,0,.000,.000,.000
223,A. HicksRF,3,0,0,0,0,0,3,.000,.143,.000,A. RutschmanC,3,2,1,0,0,1,0,.429,.556,.429
224,M. MoniakCF,1,0,0,0,0,0,0,.000,.000,.000,J. McCannC,1,1,1,0,0,0,0,1.000,1.000,1.000
225,M. TroutCF,3,0,1,0,0,0,1,.333,.333,.833,A. SantanderRF,4,2,2,3,1,0,0,.375,.333,1.250
226,J. AdellRF,1,1,1,0,0,0,0,.500,.500,1.500,C. CowserRF,1,0,1,0,0,0,0,1.000,1.000,2.000
227,T. WardLF,4,2,2,2,1,0,0,.250,.250,.625,R. Mountcastle1B,3,1,2,3,0,1,0,.500,.500,.833
228,B. Drury2B,4,1,2,0,0,0,1,.333,.333,.333,R. O'HearnDH,5,1,1,0,0,0,1,.333,.333,.500
229,N. Schanuel1B,4,0,0,1,0,0,2,.000,.143,.000,A. HaysLF,4,1,1,1,0,0,0,.250,.333,.250
