,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
11380,T. Black1B,2,0,0,0,0,1,0,.208,.269,.292,H. KimSS,3,0,0,0,0,1,1,.214,.329,.377
11381,bA. MonasterioPH-1B,2,0,0,0,0,0,1,.132,.250,.237,team,36,7,10,7,4,4,9,,,
11382,J. Ortiz3B,4,1,1,0,0,1,3,.273,.381,.454,,,,,,,,,,,
11383,B. PerkinsCF,3,0,0,0,0,1,1,.241,.316,.358,,,,,,,,,,,
11384,team,36,6,9,5,1,8,9,,,,,,,,,,,,,,
11385,gameId: 401569596,,,,,,,,,,,,,,,,,,,,,
11386,J.P. CrawfordSS,4,1,1,0,0,0,0,.206,.300,.367,S. KwanLF,3,2,1,0,0,1,1,.396,.457,.556
11387,D. Moore3B,3,1,1,2,1,1,0,.208,.322,.417,A. Gimenez2B,4,1,2,2,1,0,1,.257,.310,.357
11388,J. RodriguezCF,4,0,1,0,0,0,0,.264,.314,.353,J. RamirezDH,3,1,0,0,0,1,1,.272,.332,.525
11389,M. GarverC,3,0,0,0,0,0,1,.176,.298,.353,J. Naylor1B,4,0,1,1,0,0,1,.237,.321,.498
11390,aC. RaleighPH-C,1,0,0,0,0,0,1,.202,.280,.387,D. FryC,4,0,1,0,0,0,2,.307,.426,.523
11391,T. FranceDH,2,1,0,0,0,1,1,.244,.337,.392,A. HedgesC,0,0,0,0,0,0,0,.123,.164,.193
11392,M. HanigerRF,3,0,0,0,0,1,1,.218,.286,.336,W. BrennanRF,4,2,3,2,2,0,0,.254,.308,.421
11393,T. Locklear1B,3,0,0,0,0,0,0,.200,.250,.433,D. Schneemann3B,3,0,0,0,0,1,1,.303,.439,.515
11394,bJ. RojasPH,1,0,0,0,0,0,0,.265,.333,.402,T. FreemanCF,3,0,0,0,0,0,1,.216,.307,.351
11395,V. RoblesLF,2,0,1,0,0,1,0,.357,.438,.500,B. RocchioSS,2,0,1,0,0,1,0,.213,.318,.303
11396,cL. RaleyPH,1,0,0,0,0,0,1,.254,.304,.436,team,30,6,9,5,3,4,8,,,
11397,R. Bliss2B,2,0,1,1,0,1,0,.179,.273,.282,,,,,,,,,,,
11398,team,29,3,5,3,1,5,5,,,,,,,,,,,,,,
11399,gameId: 401569597,,,,,,,,,,,,,,,,,,,,,
11400,B. Wisely2B,4,1,1,0,0,1,0,.296,.326,.432,M. WinnSS,3,2,1,0,0,1,1,.293,.339,.427
11401,H. RamosCF,5,1,1,3,1,0,2,.307,.382,.553,A. BurlesonRF,3,3,2,0,0,0,0,.273,.306,.437
11402,P. BaileyC,5,0,4,0,0,0,0,.299,.367,.439,V. Scott IILF,0,0,0,0,0,0,0,.085,.138,.136
11403,M. Chapman3B,5,1,1,0,0,0,2,.227,.306,.379,P. Goldschmidt1B,4,0,1,0,0,0,2,.231,.302,.357
11404,M. ConfortoLF,4,0,0,0,0,0,2,.227,.286,.402,N. Gorman2B,2,0,0,2,0,0,1,.200,.273,.433
11405,J. SolerDH,3,1,1,0,0,1,1,.226,.317,.398,B. DonovanLF-3B,4,1,3,3,1,0,1,.258,.327,.402
11406,W. Flores1B,4,0,1,1,0,0,0,.212,.287,.323,M. CarpenterDH,2,0,0,0,0,0,1,.222,.300,.333
11407,M. YastrzemskiRF,1,1,1,0,0,0,0,.224,.304,.406,aJ. FerminPH-DH,2,0,0,0,0,0,1,.167,.250,.222
11408,aA. SlaterPH-RF,2,0,1,0,0,1,0,.227,.386,.273,B. Crawford3B,1,0,0,0,0,1,1,.186,.300,.302
11409,N. AhmedSS,2,0,0,1,0,0,1,.246,.277,.295,bD. CarlsonPH-LF-RF,1,0,0,0,0,0,0,.165,.253,.190
11410,bT. BrooksPH,0,0,0,0,0,1,0,.130,.259,.130,P. PagesC,3,0,0,0,0,0,1,.120,.207,.260
11411,T. FitzgeraldPR,0,0,0,0,0,0,0,.273,.333,.409,M. SianiCF,3,0,0,0,0,0,2,.209,.253,.284
11412,team,35,5,11,5,1,4,8,,,,team,28,6,7,5,1,2,11,,,
11413,gameId: 401569598,,,,,,,,,,,,,,,,,,,,,
11414,Y. Diaz1B,5,1,2,2,1,0,2,.264,.327,.368,T. LarnachLF-RF,3,0,0,0,0,0,2,.259,.312,.441
11415,B. Lowe2B,4,0,1,1,0,0,2,.220,.317,.431,aW. CastroPH-2B,2,0,1,0,0,0,1,.270,.356,.430
11416,I. Paredes3B,3,0,1,0,0,1,0,.287,.369,.473,J. Miranda3B,5,1,2,3,1,0,1,.280,.317,.477
11417,R. PalaciosPR-RF,1,1,0,0,0,0,0,.233,.332,.333,R. LewisDH,3,1,1,1,1,2,1,.377,.452,.925
11418,J. LoweRF,3,1,1,0,0,0,0,.202,.261,.381,M. KeplerRF,1,0,0,0,0,0,0,.251,.311,.422
11419,aA. RosarioPH,1,0,1,1,0,0,0,.300,.321,.415,M. MargotLF-RF,3,0,0,0,0,0,1,.225,.302,.303
11420,T. WallsSS,1,1,0,0,0,0,1,.095,.269,.143,bC. CorreaPH,1,0,0,0,0,0,0,.308,.370,.502
11421,R. ArozarenaDH,4,0,1,1,0,1,2,.186,.301,.348,R. JeffersC,5,0,1,0,0,0,1,.234,.314,.472
11422,J. DeLucaLF,5,0,1,1,0,0,1,.153,.242,.261,C. Santana1B,5,2,3,1,1,0,1,.247,.327,.447
11423,J. SiriCF,5,1,2,1,1,0,2,.203,.279,.396,B. BuxtonCF,4,1,1,0,0,0,1,.239,.291,.383
11424,J. CaballeroSS-3B,4,0,0,0,0,1,1,.238,.302,.350,K. FarmerSS,3,0,1,1,0,1,0,.200,.307,.282
11425,A. JacksonC,3,2,1,0,0,1,2,.086,.169,.172,A. Martin2B-LF,3,1,0,0,0,1,1,.255,.320,.372
11426,team,39,7,11,7,2,4,13,,,,team,38,6,10,6,3,4,10,,,
11427,gameId: 401569599,,,,,,,,,,,,,,,,,,,,,
11428,N. Schanuel1B,3,0,0,0,0,1,0,.226,.308,.351,S. OhtaniDH,2,1,2,2,1,2,0,.322,.398,.628
11429,L. Rengifo3B,4,1,1,0,0,0,0,.311,.360,.425,T. HernándezRF-LF,4,0,0,0,0,0,2,.258,.325,.498
11430,T. WardLF,3,1,2,1,0,1,1,.240,.325,.419,F. Freeman1B,4,0,0,0,0,0,0,.297,.404,.497
11431,W. CalhounDH,2,0,0,0,0,0,1,.276,.315,.373,A. PagesCF,4,0,0,0,0,0,2,.259,.312,.421
