Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
43,W. FloresDH,4,1,1,3,1,0,1,0.25,0.25,1,S. SteerDH,4,0,0,0,0,0,3,0,0,0
44,M. YastrzemskiRF,4,0,2,0,0,0,2,0.5,0.5,0.5,C. Encarnacion-Strand1B,4,0,2,0,0,0,0,0.5,0.5,0.75
45,T. Fitzgerald2B,3,0,0,0,0,0,2,0,0,0,J. FraleyRF,4,0,0,0,0,0,0,0,0,0
46,team,33,6,6,6,2,2,17,,,,J. TrevinoC,2,0,0,0,0,1,0,0,0.333,0
47,,,,,,,,,,,,aJ. HurtubisePH,0,1,0,0,0,0,0,0,1,0
48,,,,,,,,,,,,team,33,4,8,4,0,4,8,,,
49,gameId: 401694914,,,,,,,,,,,,,,,,,,,,,
50,T. WardLF,4,0,1,0,0,0,0,0.25,0.25,0.5,M. Vargas3B,4,1,2,2,0,0,1,0.5,0.5,0.75
51,N. Schanuel1B,4,0,1,0,0,0,0,0.25,0.25,0.25,L. Robert Jr.CF,4,0,1,0,0,0,1,0.25,0.25,0.5
52,M. TroutRF,2,0,0,0,0,1,0,0,0.5,0,A. BenintendiDH,4,1,1,3,1,0,2,0.25,0.25,1
53,J. SolerDH,4,0,0,0,0,0,2,0,0,0,A. Vaughn1B,4,0,0,0,0,0,0,0,0,0
54,Tim Anderson2B-SS,4,0,0,0,0,0,3,0,0,0,A. SlaterRF,3,1,1,1,1,0,0,0.333,0.333,1.333
55,L. Rengifo3B-2B,4,0,0,0,0,0,2,0,0,0,aN. MatonPH,0,0,0,0,0,1,0,0,1,0
56,L. O'HoppeC,4,1,2,1,1,0,1,0.5,0.5,1.25,T. JankowskiPR-RF,0,1,0,0,0,0,0,0,0,0
57,J. AdellCF,3,0,1,0,0,0,1,0.333,0.333,0.333,L. Sosa2B,4,1,1,2,1,0,0,0.25,0.25,1
58,bK. ParisPH,1,0,0,0,0,0,1,0,0,0,K. LeeC,3,1,1,0,0,1,1,0.333,0.5,0.333
59,K. NewmanSS,2,0,0,0,0,0,0,0,0,0,J. AmayaSS,4,1,1,0,0,0,1,0.25,0.25,0.25
60,aY. MoncadaPH-3B,0,0,0,0,0,1,0,0,1,0,M. TaylorLF,3,1,1,0,0,0,0,0.333,0.333,0.333
61,team,32,1,5,1,1,2,10,,,,team,33,8,9,8,3,2,6,,,
62,gameId: 401694915,,,,,,,,,,,,,,,,,,,,,
63,J. DuranLF,4,0,1,0,0,0,1,0.25,0.25,0.25,M. Semien2B,4,0,1,0,0,0,2,0.25,0.25,0.25
64,R. DeversDH,4,0,0,0,0,0,3,0,0,0,C. SeagerDH,4,0,0,0,0,0,2,0,0,0
65,A. Bregman3B,4,0,0,0,0,0,1,0,0,0,W. LangfordLF,3,0,1,0,0,1,0,0.333,0.5,0.333
66,T. Casas1B,4,0,0,0,0,0,2,0,0,0,A. GarcíaRF,4,0,0,0,0,0,0,0,0,0
67,T. StorySS,3,1,0,0,0,1,2,0,0.25,0,J. Burger1B,3,1,0,0,0,1,0,0,0.25,0
68,K. Campbell2B,3,0,1,0,0,1,1,0.333,0.5,0.333,J. Jung3B,4,0,2,0,0,0,1,0.5,0.5,0.5
69,D. HamiltonPR-2B,0,1,0,0,0,0,0,0,0,0,K. PillarCF,3,1,2,1,0,0,0,0.667,0.667,0.667
70,W. AbreuRF,3,3,3,4,2,1,0,1,1,3,aJ. PedersonPH,1,0,0,0,0,0,0,0,0,0
71,C. WongC,4,0,1,0,0,0,1,0.25,0.25,0.25,K. HigashiokaC,4,0,1,1,0,0,0,0.25,0.25,0.5
72,C. RafaelaCF,4,0,0,1,0,0,2,0,0,0,J. SmithSS,3,0,0,0,0,0,2,0,0,0
73,team,33,5,6,5,2,3,13,,,,team,33,2,7,2,0,2,7,,,
74,gameId: 401694916,,,,,,,,,,,,,,,,,,,,,
75,S. KwanLF,4,1,2,1,0,0,0,0.5,0.5,0.75,J. India3B-LF,5,0,0,0,0,0,0,0,0,0
76,J. Ramirez3B,4,0,0,1,0,0,0,0,0,0,B. Witt Jr.SS,5,1,1,0,0,0,3,0.2,0.2,0.2
77,L. ThomasCF,5,0,1,0,0,0,0,0.2,0.2,0.2,V. PasquantinoDH,4,1,2,3,1,0,0,0.5,0.5,1.5
78,C. Santana1B,4,2,1,0,0,1,1,0.25,0.4,0.25,F. FerminPR-DH,0,1,0,0,0,0,0,0,0,0
79,K. ManzardoDH,4,2,3,4,1,1,1,0.75,0.8,2.25,S. PerezC,4,0,1,0,0,0,2,0.25,0.25,0.25
80,J. NoelRF,4,0,1,1,0,0,1,0.25,0.2,0.25,M. Massey2B,3,0,1,1,0,0,0,0.333,0.25,0.333
81,B. NaylorC,4,0,1,0,0,0,1,0.25,0.25,0.25,H. RenfroeRF,4,0,0,0,0,0,1,0,0,0
82,G. Arias2B,4,1,1,0,0,0,1,0.25,0.25,0.5,M. MelendezLF,2,0,0,0,0,0,1,0,0,0
83,B. RocchioSS,3,1,0,0,0,1,0,0,0.25,0,aM. GarciaPH-3B,2,0,1,0,0,0,1,0.5,0.5,0.5
84,team,36,7,10,7,1,3,5,,,,C. Biggio1B,2,0,0,0,0,1,0,0,0.333,0
85,,,,,,,,,,,,D. BlancoPR,0,0,0,0,0,0,0,0,0,0
86,,,,,,,,,,,,M. Canha1B,1,0,0,0,0,0,1,0,0,0
87,,,,,,,,,,,,K. IsbelCF,3,1,1,0,0,0,1,0.333,0.333,0.667
88,,,,,,,,,,,,team,35,4,7,4,1,1,10,,,
89,gameId: 401694917,,,,,,,,,,,,,,,,,,,,,
90,M. WallnerRF,4,0,0,0,0,1,2,0,0.2,0,L. NootbaarLF,4,2,2,2,1,0,0,0.5,0.5,1.25
91,C. CorreaSS,4,0,0,0,0,0,1,0,0,0,W. Contreras1B,4,0,0,0,0,0,2,0,0,0
92,B. BuxtonCF,4,0,0,0,0,0,1,0,0,0,B. Donovan2B,4,1,2,1,0,0,1,0.5,0.5,0.5
93,T. LarnachDH,3,1,2,0,0,1,1,0.667,0.75,0.667,N. Arenado3B,4,1,2,1,1,0,0,0.5,0.5,1.25
94,D. Keirsey Jr.PR-DH,0,0,0,0,0,0,0,0,0,0,A. BurlesonDH,4,0,1,0,0,0,0,0.25,0.25,0.25
95,R. JeffersC,4,0,1,0,0,0,1,0.25,0.25,0.25,I. HerreraC,3,0,2,1,0,1,0,0.667,0.75,1
96,T. France1B,4,0,1,0,0,0,1,0.25,0.25,0.25,M. SianiPR-CF,0,0,0,0,0,0,0,0,0,0
97,W. Castro2B,3,0,1,1,0,1,2,0.333,0.5,0.667,J. WalkerRF,3,1,1,0,0,1,0,0.333,0.5,0.333
98,J. Miranda3B,4,1,1,0,0,0,2,0.25,0.25,0.25,P. PagesC,0,0,0,0,0,0,0,0,0,0
99,H. BaderLF,4,1,2,2,1,0,0,0.5,0.5,1.5,V. Scott IICF-RF,4,0,0,0,0,0,1,0,0,0
100,team,34,3,8,3,1,3,11,,,,M. WinnSS,3,0,0,0,0,0,1,0,0,0
101,,,,,,,,,,,,team,33,5,10,5,2,2,5,,,
102,gameId: 401694918,,,,,,,,,,,,,,,,,,,,,
103,F. LindorSS,4,0,0,1,0,0,2,0,0,0,J. AltuveLF,4,0,1,0,0,0,3,0.25,0.25,0.25
104,J. SotoRF,3,0,1,0,0,2,1,0.333,0.6,0.333,I. Paredes3B,3,1,0,0,0,1,1,0,0.25,0
105,P. Alonso1B,2,0,1,0,0,2,0,0.5,0.75,0.5,Y. AlvarezDH,2,0,0,0,0,2,1,0,0.5,0
106,M. Vientos3B,3,0,0,0,0,1,0,0,0.25,0,C. Walker1B,4,1,1,0,0,0,0,0.25,0.25,0.25
107,B. NimmoLF,4,0,1,0,0,0,1,0.25,0.25,0.25,Y. DiazC,3,0,1,1,0,1,0,0.333,0.5,0.333
108,S. MarteDH,3,1,1,0,0,0,1,0.333,0.5,0.333,J. PenaSS,3,1,1,0,0,0,0,0.333,0.5,0.333
109,T. TaylorCF,4,0,1,0,0,0,0,0.25,0.25,0.25,C. SmithRF,3,0,1,0,0,0,0,0.333,0.333,0.333
110,L. Acuna2B,3,0,0,0,0,1,1,0,0.25,0,C. McCormickRF,0,0,0,0,0,0,0,0,0,0
111,L. TorrensC,2,0,1,0,0,0,0,0.5,0.5,1,B. Rodgers2B,3,0,0,0,0,1,2,0,0.25,0
112,aJ. WinkerPH,1,0,0,0,0,0,0,0,0,0,J. MeyersCF,4,0,2,1,0,0,0,0.5,0.5,0.5
113,H. SengerC,1,0,0,0,0,0,1,0,0,0,team,29,3,7,2,0,5,7,,,
114,team,30,1,6,1,0,6,7,,,,,,,,,,,,,,
115,gameId: 401694919,,,,,,,,,,,,,,,,,,,,,
116,J. ProfarLF,5,1,1,0,0,0,3,0.2,0.2,0.2,F. Tatis Jr.RF,4,2,3,0,0,0,1,0.75,0.75,0.75
117,A. Riley3B,5,1,1,1,1,0,1,0.2,0.2,0.8,L. Arraez1B,2,0,0,1,0,0,0,0,0,0
118,M. Olson1B,2,0,1,0,0,3,0,0.5,0.8,0.5,M. Machado3B,3,3,2,1,0,1,1,0.667,0.75,1.333
119,M. OzunaDH,3,1,1,0,0,2,1,0.333,0.6,0.333,X. BogaertsSS,3,0,1,0,0,1,1,0.333,0.5,0.333
120,O. Albies2B,5,1,1,3,1,0,0,0.2,0.2,0.8,J. MerrillCF,3,0,1,4,0,0,0,0.333,0.25,0.333
121,M. Harris IICF,4,0,1,0,0,0,1,0.25,0.25,0.25,Y. GurrielDH,4,0,0,0,0,0,1,0,0,0
122,D. BaldwinC,3,0,0,0,0,1,1,0,0.25,0,J. Cronenworth2B,4,0,0,0,0,0,2,0,0,0
123,O. ArciaSS,4,0,1,0,0,0,2,0.25,0.25,0.25,B. LockridgeLF,2,0,0,0,0,0,1,0,0,0
124,J. KelenicRF,4,0,0,0,0,0,1,0,0,0,aG. SheetsPH,1,1,1,1,1,0,0,1,1,4
125,team,35,4,7,4,2,6,10,,,,M. MaldonadoC,1,0,0,0,0,0,1,0,0,0
126,,,,,,,,,,,,E. DiazC,3,0,2,0,0,0,1,0.667,0.667,0.667
127,,,,,,,,,,,,J. HeywardPR-LF,1,1,0,0,0,0,0,0,0,0
128,,,,,,,,,,,,team,31,7,10,7,1,2,9,,,
129,gameId: 401694920,,,,,,,,,,,,,,,,,,,,,
130,I. HappLF,5,2,2,3,1,1,1,0.333,0.467,0.667,K. Marte2B,5,2,2,0,0,0,1,0.4,0.4,0.6
131,K. TuckerRF,5,0,1,1,0,1,2,0.154,0.267,0.231,C. CarrollRF,3,0,1,0,0,1,0,0.333,0.6,0.667
132,S. SuzukiDH,5,1,1,0,0,0,2,0.077,0.143,0.077,L. Gurriel Jr.LF,5,0,0,1,0,0,0,0,0,0
133,M. Busch1B,4,1,2,0,0,1,1,0.2,0.333,0.2,J. Naylor1B,5,0,1,1,0,0,0,0.2,0.2,0.2
134,D. SwansonSS,5,0,0,0,0,0,2,0.182,0.25,0.273,G. MorenoC,3,2,2,0,0,1,0,0.667,0.75,0.667
135,N. Hoerner2B,4,1,2,1,0,1,0,0.5,0.6,0.5,E. Suarez3B,3,2,1,1,1,0,1,0.333,0.5,1.333
136,P. Crow-ArmstrongCF,4,2,1,0,0,1,0,0.091,0.167,0.091,R. GrichukDH,2,0,1,0,0,0,0,0.5,0.5,1
137,M. Shaw3B,4,3,1,0,0,1,1,0.154,0.214,0.154,aP. SmithPH-DH,1,0,0,0,0,1,1,0,0.5,0
138,M. AmayaC,5,0,2,5,0,0,1,0.375,0.375,0.75,J. McCarthyCF,3,0,0,1,0,0,1,0,0,0
139,team,41,10,12,10,1,6,10,,,,G. PerdomoSS,3,0,1,2,0,0,0,0.333,0.25,0.333
140,,,,,,,,,,,,team,33,6,9,6,1,3,4,,,
141,gameId: 401694921,,,,,,,,,,,,,,,,,,,,,
142,L. ButlerRF,3,0,0,0,0,1,0,0,0.25,0,V. RoblesRF,3,0,0,1,0,0,0,0,0,0
143,B. RookerDH,4,0,0,0,0,0,4,0,0,0,J. RodriguezCF,3,0,0,0,0,1,1,0,0.25,0
144,J. BledayCF,4,0,0,0,0,0,0,0,0,0,C. RaleighC,3,0,0,0,0,1,1,0,0.25,0
145,S. LangeliersC,3,0,0,0,0,0,2,0,0,0,R. ArozarenaLF,3,1,1,1,1,1,1,0.333,0.5,1.333
146,M. AndujarLF,3,0,0,0,0,0,0,0,0,0,L. RaleyDH,3,1,1,0,0,1,1,0.333,0.5,0.333
147,T. Soderstrom1B,3,2,2,2,2,0,1,0.667,0.667,2.667,J. Polanco3B,3,1,3,2,1,0,0,1,1,2
148,G. Urshela3B,3,0,0,0,0,0,1,0,0,0,R. Tellez1B,3,0,0,0,0,0,2,0,0.25,0
149,M. Muncy2B,3,0,0,0,0,0,2,0,0,0,R. Bliss2B,2,0,0,0,0,2,0,0,0.5,0
150,J. WilsonSS,3,0,1,0,0,0,0,0.333,0.333,0.333,J.P. CrawfordSS,2,1,0,0,0,1,1,0,0.333,0
151,team,29,2,3,2,2,1,10,,,,team,25,4,5,4,2,7,7,,,
152,gameId: 401694923,,,,,,,,,,,,,,,,,,,,,
153,C. CowserLF,4,0,0,0,0,0,2,0,0.222,0,B. BichetteSS,4,1,2,1,0,0,0,0.25,0.333,0.25
154,A. RutschmanC,2,1,0,0,0,2,0,0.429,0.556,1.286,V. Guerrero Jr.1B,4,0,2,1,0,0,2,0.333,0.444,0.5
155,J. Westburg3B,4,0,0,0,0,0,1,0.25,0.333,0.625,A. SantanderDH,4,1,2,0,0,1,1,0.25,0.333,0.25
156,R. O'HearnDH,3,0,1,0,0,1,0,0.25,0.333,0.25,A. Gimenez2B,5,1,1,0,0,0,2,0.25,0.333,0.625
157,T. O'NeillRF,3,0,0,1,0,0,0,0.5,0.556,1,A. KirkC,4,1,1,0,0,0,1,0.25,0.25,0.25
158,C. MullinsCF,3,0,0,0,0,1,2,0.375,0.444,1.125,G. SpringerRF-CF,4,1,2,0,0,0,1,0.286,0.375,0.286
159,R. Mountcastle1B,4,0,0,0,0,0,1,0.111,0.111,0.222,W. Wagner3B,3,1,2,0,0,0,1,0.5,0.5,0.667
160,J. Holliday2B,3,1,2,1,1,0,1,0.375,0.375,0.75,aE. Clement3B-PH-3B,1,0,1,2,0,0,0,0.25,0.25,0.5
161,J. MateoSS,3,0,0,0,0,0,2,0,0,0,N. LukesCF,2,2,1,1,0,1,1,0.5,0.667,0.5
162,team,29,2,3,2,1,4,9,,,,bD. SchneiderLF-PH-LF,0,0,0,0,0,1,0,0,1,0
163,,,,,,,,,,,,A. RodenLF-RF,3,0,0,1,0,0,0,0.2,0.286,0.2
164,,,,,,,,,,,,team,34,8,14,6,0,3,9,,,
165,gameId: 401694924,,,,,,,,,,,,,,,,,,,,,
166,T. PhamLF,5,1,0,0,0,0,0,0.125,0.3,0.25,X. EdwardsSS,4,0,2,0,0,0,0,0.286,0.444,0.286
167,B. ReynoldsRF,5,0,0,0,0,0,3,0.111,0.2,0.111,K. StowersLF,4,0,0,0,0,0,2,0.143,0.333,0.143
168,O. CruzCF,4,2,2,2,1,1,0,0.25,0.4,0.625,J. BrideDH,4,0,0,0,0,0,2,0.143,0.25,0.143
169,J. BartC,2,1,1,0,0,2,1,0.167,0.444,0.167,M. Mervis1B,3,1,1,0,0,1,0,0.143,0.25,0.143
170,A. McCutchenDH,3,0,1,1,0,1,0,0.143,0.25,0.286,O. Lopez2B,3,1,1,2,1,1,0,0.333,0.5,0.833
171,K. Hayes3B,4,0,1,0,0,0,0,0.25,0.25,0.25,G. ConineRF,2,0,1,0,0,0,0,0.25,0.25,0.25
172,E. Rodriguez1B,3,0,0,0,0,1,1,0,0.25,0,aD. MyersPH-RF,2,0,0,0,0,0,0,0.25,0.25,0.25
173,A. Frazier2B,3,0,1,1,0,0,1,0.333,0.4,0.333,L. HicksC,3,0,0,0,0,1,0,0,0.25,0
174,I. Kiner-FalefaSS,4,0,1,0,0,0,0,0.167,0.375,0.167,D. HillCF,3,1,1,0,0,0,2,0.333,0.429,0.5
175,team,33,4,7,4,1,5,6,,,,G. Pauley3B,2,0,1,1,0,0,0,0.333,0.333,0.5
176,,,,,,,,,,,,bE. WagamanPH-3B,1,0,0,0,0,0,1,0,0,0
177,,,,,,,,,,,,team,31,3,7,3,1,3,7,,,
178,gameId: 401694925,,,,,,,,,,,,,,,,,,,,,
179,J. DuranLF,4,0,2,0,0,0,0,0.375,0.375,0.375,M. Semien2B,4,0,0,0,0,0,0,0.125,0.125,0.125
180,R. DeversDH,4,0,0,0,0,0,4,0,0,0,C. SeagerSS,4,0,1,0,0,0,1,0.125,0.125,0.125
181,A. Bregman3B,4,0,1,0,0,0,1,0.125,0.125,0.125,W. LangfordLF,4,0,1,0,0,0,0,0.286,0.375,0.286
182,T. Casas1B,4,0,0,0,0,0,1,0,0,0,J. PedersonDH,3,1,1,0,0,0,0,0.25,0.25,0.25
183,T. StorySS,4,1,1,0,0,0,0,0.143,0.25,0.143,aK. PillarPH-DH,1,0,0,0,0,0,0,0.5,0.5,0.5
184,K. Campbell2B,4,0,2,0,0,0,1,0.429,0.5,0.429,A. GarcíaRF,2,0,0,0,0,2,0,0,0.25,0
185,W. AbreuRF,3,0,2,1,0,1,0,0.833,0.875,1.833,J. Burger1B,3,1,1,1,0,0,1,0.167,0.286,0.333
186,C. WongC,3,0,0,0,0,1,0,0.143,0.25,0.143,J. Jung3B,3,0,1,1,0,0,0,0.429,0.429,0.429
187,C. RafaelaCF,4,0,0,0,0,0,0,0,0,0,J. Smith3B,0,0,0,0,0,0,0,0,0,0
188,team,34,1,8,1,0,2,7,,,,J. HeimC,3,2,2,2,2,0,0,0.667,0.667,2.667
189,,,,,,,,,,,,L. TaverasCF,2,0,1,0,0,1,1,0.5,0.667,0.5
190,,,,,,,,,,,,team,29,4,8,4,2,3,3,,,
