Unnamed: 0,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
991,C. TrompC,3,0,0,0,0,1,1,0,0.167,0,A. PagesCF,3,0,0,0,0,0,2,0.12,0.267,0.16
992,E. WhiteCF,2,1,1,0,0,0,0,0.25,0.25,0.25,team,32,6,9,6,3,4,8,,,
993,aM. Harris IIPH-CF,2,0,1,0,0,0,0,0.16,0.16,0.28,,,,,,,,,,,
994,team,36,5,8,4,0,5,8,,,,,,,,,,,,,,
995,gameId: 401694998,,,,,,,,,,,,,,,,,,,,,
996,S. KwanLF,4,1,1,0,0,0,1,0.348,0.4,0.522,F. Tatis Jr.RF,4,1,2,0,0,0,0,0.423,0.484,0.577
997,J. Ramirez3B,4,0,2,0,0,0,1,0.294,0.35,0.588,L. Arraez1B,4,2,2,1,1,0,0,0.148,0.172,0.259
998,K. Manzardo1B,3,0,0,1,0,0,1,0.25,0.333,0.7,M. MachadoDH,4,1,2,0,0,0,1,0.4,0.444,0.52
999,C. SantanaDH,3,1,2,0,0,1,0,0.261,0.308,0.348,J. MerrillCF,4,1,2,2,1,0,1,0.417,0.444,0.708
1000,N. JonesRF,4,0,2,0,0,0,0,0.2,0.294,0.333,J. Cronenworth2B,2,0,0,0,0,2,0,0.263,0.44,0.474
1001,L. ThomasCF,4,0,0,1,0,0,0,0.143,0.182,0.143,X. BogaertsSS,4,0,0,0,0,0,0,0.227,0.37,0.318
1002,B. NaylorC,2,0,0,0,0,0,2,0.118,0.167,0.118,G. SheetsLF,4,0,1,0,0,0,1,0.444,0.474,0.722
1003,aJ. NoelPH,1,0,0,0,0,0,0,0.111,0.182,0.111,B. LockridgeLF,0,0,0,0,0,0,0,0.5,0.667,1
1004,B. RocchioSS,1,0,0,0,0,0,1,0.188,0.278,0.188,J. Iglesias3B,4,0,1,0,0,0,1,0.286,0.375,0.286
1005,G. AriasSS-2B,4,0,1,0,0,0,1,0.316,0.333,0.526,M. MaldonadoC,4,0,0,0,0,0,1,0.182,0.182,0.182
1006,D. Schneemann2B,2,0,0,0,0,0,1,0.125,0.364,0.5,team,34,5,10,3,2,2,5,,,
1007,bJ. RodriguezPH,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
1008,A. HedgesC,0,0,0,0,0,0,0,0.333,0.5,1.333,,,,,,,,,,,
1009,team,33,2,8,2,0,1,9,,,,,,,,,,,,,,
1010,gameId: 401695000,,,,,,,,,,,,,,,,,,,,,
1011,Z. McKinstry3B-RF,5,0,1,0,0,0,1,0.227,0.32,0.318,V. RoblesRF,4,0,1,2,0,0,0,0.214,0.233,0.321
1012,R. GreeneLF,4,0,2,1,0,0,0,0.296,0.296,0.63,J. RodriguezCF,3,0,0,0,0,1,1,0.182,0.379,0.409
1013,S. Torkelson1B,4,0,0,0,0,0,2,0.318,0.444,0.545,C. RaleighDH,4,0,1,0,0,0,1,0.125,0.25,0.25
1014,K. CarpenterRF,3,0,0,0,0,0,1,0.222,0.211,0.278,R. ArozarenaLF,4,0,1,0,0,0,2,0.174,0.321,0.522
1015,aA. IbanezPH-3B,1,0,0,0,0,0,0,0,0.1,0,M. GarverC,4,0,0,0,0,0,3,0.083,0.154,0.083
1016,C. Keith2B,1,0,0,0,0,3,1,0.176,0.44,0.235,D. Solano1B,3,0,0,0,0,0,0,0,0,0
1017,J. MalloyDH,3,0,0,0,0,1,0,0.286,0.5,0.429,D. Moore3B,1,2,1,1,1,2,0,0.375,0.545,0.75
1018,T. SweeneySS,4,1,1,1,1,0,2,0.273,0.304,0.409,R. Bliss2B,3,0,1,0,0,0,1,0.111,0.238,0.111
1019,J. RogersC,3,0,0,0,0,0,1,0.143,0.2,0.286,J.P. CrawfordSS,3,1,1,0,0,0,1,0.111,0.304,0.111
1020,bD. DinglerPH,1,0,1,0,0,0,0,0.5,0.5,0.917,team,29,3,6,3,1,3,9,,,
1021,R. KreidlerCF,3,1,1,0,0,0,0,0.2,0.25,0.2,,,,,,,,,,,
1022,cJ. BaezPH,1,0,0,0,0,0,0,0.3,0.3,0.4,,,,,,,,,,,
1023,team,33,2,6,2,1,4,8,,,,,,,,,,,,,,
1024,gameId: 401695001,,,,,,,,,,,,,,,,,,,,,
1025,C. CarrollRF,5,1,1,0,0,0,1,0.222,0.344,0.407,B. Rice1B,3,2,1,0,0,2,1,0.375,0.474,0.875
1026,G. PerdomoSS,5,1,1,4,1,0,1,0.32,0.321,0.48,O. Peraza3B,0,0,0,0,0,0,0,0.5,0.5,2
1027,P. Smith1B,4,1,0,0,0,1,2,0.308,0.471,0.538,C. BellingerRF,4,1,0,0,0,1,2,0.238,0.296,0.381
1028,J. NaylorDH,3,2,2,0,0,1,0,0.32,0.433,0.44,A. JudgeDH,5,2,3,4,1,0,0,0.417,0.481,1.167
1029,L. Gurriel Jr.LF,4,0,1,1,0,0,1,0.222,0.25,0.519,J. Chisholm Jr.2B,4,1,1,2,1,1,1,0.292,0.37,0.792
1030,E. Suarez3B,3,0,1,0,0,1,1,0.25,0.379,0.917,J. DominguezLF,5,1,2,0,0,0,1,0.25,0.348,0.45
1031,A. ThomasCF,4,0,0,2,0,0,2,0.385,0.4,0.538,A. VolpeSS,4,1,1,0,0,0,1,0.208,0.269,0.708
1032,G. Hampson2B,2,1,0,0,0,1,1,0,0.4,0,T. GrishamCF,4,1,3,3,1,0,0,0.5,0.583,0.9
1033,aK. MartePH-2B,1,0,1,0,0,0,0,0.32,0.452,0.4,J.C. EscarraC,4,0,1,0,0,0,0,0.167,0.167,0.333
1034,J. HerreraC,2,1,1,0,0,1,0,0.143,0.25,0.143,O. Cabrera3B,3,0,0,0,0,0,1,0.2,0.25,0.2
1035,bG. MorenoPH-C,1,0,0,0,0,0,0,0.375,0.474,0.375,aP. GoldschmidtPH-1B,0,0,0,0,0,1,0,0.25,0.348,0.45
1036,team,34,7,8,7,1,5,9,,,,team,36,9,12,9,3,5,7,,,
1037,gameId: 401695002,,,,,,,,,,,,,,,,,,,,,
1038,J. DuranLF,4,0,0,1,0,0,2,0.2,0.242,0.3,C. MullinsCF,3,2,1,1,1,1,1,0.308,0.4,0.692
1039,R. DeversDH,4,2,1,0,0,1,1,0.111,0.25,0.148,A. RutschmanC,3,0,1,0,0,1,0,0.259,0.355,0.519
1040,A. Bregman3B,5,2,3,3,1,0,2,0.29,0.313,0.452,J. Westburg2B,3,0,1,1,0,1,0,0.375,0.444,0.75
1041,T. Casas1B,5,1,2,2,1,0,2,0.154,0.185,0.269,R. O'Hearn1B-RF,4,0,0,0,0,0,3,0.316,0.381,0.421
1042,T. StorySS,4,0,0,0,0,0,2,0.217,0.25,0.348,T. O'NeillDH,4,0,0,0,0,0,1,0.364,0.4,0.545
1043,W. AbreuRF,3,2,1,0,0,1,1,0.471,0.625,0.941,H. KjerstadRF,2,1,1,0,0,0,1,0.222,0.273,0.333
1044,K. Campbell2B,4,1,2,2,1,0,0,0.417,0.5,0.833,aR. MountcastlePH-1B,2,0,1,0,0,0,1,0.273,0.304,0.364
1045,C. NarvaezC,4,0,1,0,0,0,1,0.286,0.375,0.286,J. HollidaySS,4,1,1,0,0,0,0,0.304,0.333,0.478
1046,C. RafaelaCF,4,0,1,0,0,0,0,0.136,0.174,0.136,R. Urias3B,4,0,2,1,0,0,1,0.429,0.5,0.476
1047,team,37,8,11,8,3,2,11,,,,D. CarlsonLF,3,0,0,1,0,0,3,0,0.167,0
1048,,,,,,,,,,,,team,32,4,8,4,1,3,11,,,
1049,gameId: 401695003,,,,,,,,,,,,,,,,,,,,,
1050,J. AltuveLF,5,0,0,0,0,0,5,0.321,0.367,0.429,M. WallnerRF,4,1,1,0,0,0,2,0.143,0.308,0.333
1051,J. MeyersCF,0,0,0,0,0,0,0,0.2,0.2,0.2,C. CorreaSS,4,0,0,1,0,0,1,0.08,0.115,0.12
1052,I. Paredes3B,3,0,0,0,0,0,1,0.13,0.31,0.174,B. BuxtonCF,4,1,2,0,0,0,1,0.24,0.269,0.4
1053,Y. AlvarezDH,4,0,0,0,0,0,2,0.125,0.241,0.167,T. LarnachDH,4,0,1,1,0,0,1,0.238,0.304,0.238
1054,C. Walker1B,3,2,2,1,1,0,0,0.185,0.214,0.296,T. France1B,4,0,0,0,0,0,0,0.192,0.25,0.231
1055,J. PenaSS,4,1,1,1,1,0,0,0.13,0.231,0.391,W. Castro3B-2B,3,0,1,0,0,0,1,0.261,0.346,0.522
1056,V. CaratiniC,4,2,2,0,0,0,0,0.375,0.375,0.5,E. Julien2B,2,0,0,0,0,0,1,0.167,0.167,0.167
1057,B. Rodgers2B,4,0,3,3,0,0,1,0.313,0.389,0.375,aJ. MirandaPH-3B,1,0,0,0,0,0,0,0.158,0.158,0.158
1058,C. SmithRF,3,0,0,0,0,0,2,0.143,0.294,0.143,R. JeffersC,3,0,0,0,0,0,2,0.222,0.3,0.222
1059,C. McCormickRF,1,0,0,0,0,0,1,0.25,0.4,0.25,H. BaderLF,3,0,0,0,0,0,2,0.211,0.211,0.737
1060,M. DubonCF-LF,4,0,1,0,0,0,0,0.111,0.2,0.222,team,32,2,5,2,0,0,11,,,
1061,team,35,5,9,5,2,0,12,,,,,,,,,,,,,,
1062,gameId: 401695006,,,,,,,,,,,,,,,,,,,,,
1063,B. BichetteSS,4,0,0,0,0,0,2,0.273,0.333,0.333,F. LindorSS,2,2,1,0,0,2,0,0.136,0.231,0.182
1064,V. Guerrero Jr.1B,3,0,2,0,0,1,0,0.267,0.343,0.367,J. SotoRF,4,1,1,1,0,0,0,0.24,0.387,0.44
1065,A. SantanderLF-RF,3,0,0,0,0,1,1,0.2,0.294,0.233,P. Alonso1B,3,2,1,2,1,1,0,0.292,0.433,0.75
1066,A. Gimenez2B,4,0,0,0,0,0,2,0.267,0.353,0.633,B. NimmoLF,3,0,1,1,0,1,0,0.259,0.31,0.519
1067,A. KirkC,4,0,0,0,0,0,1,0.261,0.25,0.304,S. MarteDH,2,0,0,1,0,0,0,0.222,0.385,0.556
1068,G. SpringerCF,4,0,2,0,0,0,0,0.44,0.517,0.72,M. Vientos3B,3,0,0,0,0,0,0,0.074,0.138,0.148
1069,W. WagnerDH,3,0,0,0,0,1,2,0.333,0.364,0.429,L. TorrensC,3,0,0,0,0,0,0,0.263,0.3,0.526
1070,E. Clement3B,3,0,0,0,0,0,1,0.118,0.2,0.176,L. Acuna2B,3,0,0,0,0,0,1,0.143,0.2,0.214
1071,A. RodenRF,2,0,0,0,0,0,0,0.278,0.333,0.333,J. SiriCF,3,0,0,0,0,0,0,0.083,0.154,0.167
1072,aD. SchneiderPH-LF,1,0,0,0,0,0,1,0,0.273,0,team,26,5,4,5,1,4,1,,,
1073,team,31,0,4,0,0,3,10,,,,,,,,,,,,,,
1074,gameId: 401695007,,,,,,,,,,,,,,,,,,,,,
1075,C. CarrollRF,4,2,2,3,2,1,1,0.258,0.378,0.613,C. AbramsSS,4,1,2,1,1,0,2,0.31,0.333,0.69
1076,K. Marte2B,1,0,1,0,0,0,0,0.346,0.469,0.462,J. WoodLF,4,0,1,0,0,0,2,0.222,0.276,0.37
1077,G. HampsonPR-2B,3,2,1,0,0,1,0,0.167,0.444,0.167,K. RuizC,4,0,0,0,0,0,1,0.32,0.37,0.6
1078,P. SmithDH,3,0,1,0,0,0,2,0.313,0.45,0.5,N. Lowe1B,4,2,2,1,1,0,1,0.333,0.379,0.741
1079,aR. GrichukPH-DH,2,0,1,2,0,0,0,0.286,0.333,0.571,L. Garcia Jr.2B,4,1,1,2,1,0,0,0.143,0.143,0.333
1080,J. Naylor1B,4,0,1,1,0,0,0,0.31,0.412,0.414,J. BellDH,4,0,1,0,0,0,0,0.115,0.207,0.231
1081,L. Gurriel Jr.LF,4,0,1,0,0,0,0,0.226,0.25,0.484,D. CrewsRF,4,0,1,0,0,0,0,0.045,0.087,0.045
1082,E. Suarez3B,4,0,0,0,0,0,2,0.214,0.333,0.786,J. Tena3B,3,0,0,0,0,0,0,0.2,0.2,0.2
1083,G. MorenoC,4,0,0,0,0,0,1,0.3,0.391,0.3,J. YoungCF,3,0,0,0,0,0,0,0.067,0.263,0.133
1084,J. McCarthyCF,4,0,0,0,0,0,0,0,0.095,0,team,34,4,8,4,3,0,6,,,
1085,G. PerdomoSS,4,2,3,0,0,0,0,0.379,0.375,0.552,,,,,,,,,,,
1086,team,37,6,11,6,2,2,6,,,,,,,,,,,,,,
1087,gameId: 401695008,,,,,,,,,,,,,,,,,,,,,
1088,S. OhtaniDH,4,0,1,0,0,0,1,0.324,0.439,0.618,K. SchwarberDH,2,0,0,0,0,2,0,0.286,0.375,0.75
1089,M. BettsSS,3,1,0,0,0,1,1,0.261,0.346,0.652,T. TurnerSS,3,1,1,0,0,1,1,0.313,0.421,0.375
1090,T. Edman2B,4,1,1,2,1,0,1,0.286,0.297,0.714,B. Harper1B,3,0,0,0,0,1,1,0.241,0.29,0.379
1091,T. HernándezRF,4,0,2,0,0,0,1,0.235,0.297,0.471,A. Bohm3B,4,0,0,0,0,0,0,0.226,0.25,0.258
1092,W. SmithC,2,0,0,0,0,2,1,0.409,0.594,0.591,M. KeplerLF,3,1,0,0,0,1,0,0.238,0.385,0.476
1093,C. TaylorPR,0,0,0,0,0,0,0,0,0,0,N. CastellanosRF,3,1,2,0,0,0,0,0.292,0.393,0.458
1094,E. Hernández1B,3,0,0,0,0,0,3,0.091,0.087,0.364,J.T. RealmutoC,3,0,1,0,0,0,1,0.261,0.292,0.391
1095,aM. MuncyPH,1,0,0,0,0,0,1,0.115,0.207,0.192,B. Stott2B,3,0,1,1,0,0,2,0.286,0.375,0.524
1096,M. ConfortoLF,3,0,0,0,0,0,1,0.318,0.444,0.636,B. MarshCF,3,0,0,1,0,0,2,0.222,0.364,0.389
1097,M. Rojas3B,3,0,1,0,0,0,0,0.105,0.15,0.105,team,27,3,5,2,0,5,7,,,
1098,A. PagesCF,2,0,0,0,0,1,1,0.111,0.273,0.148,,,,,,,,,,,
1099,team,29,2,5,2,1,4,11,,,,,,,,,,,,,,
1100,gameId: 401695010,,,,,,,,,,,,,,,,,,,,,
1101,B. RiceDH,4,1,1,0,0,2,0,0.35,0.48,0.75,K. Hayes3B,4,1,1,3,1,1,0,0.214,0.241,0.393
1102,A. JudgeRF,5,1,1,2,1,1,3,0.379,0.455,1.103,B. ReynoldsDH,5,1,1,1,1,0,3,0.194,0.237,0.306
1103,J. Chisholm Jr.2B,5,0,0,0,0,0,2,0.241,0.313,0.655,O. CruzCF,3,0,0,0,0,1,1,0.231,0.382,0.462
1104,P. Goldschmidt1B,5,1,2,0,0,0,1,0.28,0.357,0.44,J. BartC,3,0,1,0,0,1,2,0.261,0.37,0.261
1105,A. WellsC,4,1,0,0,0,0,1,0.19,0.32,0.524,A. McCutchenRF,4,0,3,0,0,0,0,0.375,0.444,0.625
1106,A. VolpeSS,4,2,3,1,0,0,0,0.286,0.355,0.75,T. PhamLF,1,0,0,0,0,0,0,0.083,0.214,0.125
1107,T. GrishamCF,3,2,1,0,0,2,2,0.462,0.588,0.769,A. CanarioLF,3,0,0,0,0,0,2,0,0,0
1108,J. DominguezLF,4,1,2,2,0,0,1,0.292,0.393,0.5,E. Rodriguez1B,4,1,1,0,0,0,2,0.15,0.292,0.25
1109,O. Cabrera3B,4,0,3,4,0,1,1,0.316,0.381,0.316,J. Triolo2B,3,0,0,0,0,0,1,0.063,0.118,0.063
1110,team,38,9,13,9,1,6,11,,,,aA. FrazierPH,1,0,0,0,0,0,0,0.25,0.304,0.25
1111,,,,,,,,,,,,I. Kiner-FalefaSS,4,1,2,0,0,0,0,0.36,0.467,0.36
1112,,,,,,,,,,,,team,35,4,9,4,2,3,11,,,
1113,gameId: 401695012,,,,,,,,,,,,,,,,,,,,,
1114,L. NootbaarLF,5,2,2,1,0,0,1,0.414,0.514,0.655,J. DuranLF,6,1,2,1,0,0,0,0.222,0.256,0.306
1115,W. Contreras1B,5,1,1,1,0,0,3,0.071,0.103,0.107,R. DeversDH,3,1,2,1,0,2,0,0.167,0.324,0.2
1116,B. Donovan2B,5,1,3,3,1,0,0,0.267,0.303,0.467,A. Bregman3B,4,2,2,1,0,1,1,0.314,0.351,0.486
1117,N. Arenado3B,5,1,1,0,0,0,0,0.357,0.455,0.571,T. Casas1B,5,2,2,0,0,0,0,0.194,0.219,0.355
1118,A. BurlesonDH,4,1,3,0,0,0,1,0.333,0.391,0.381,T. StorySS,5,1,2,3,1,0,1,0.25,0.276,0.464
1119,aL. BakerPH,0,0,0,0,0,1,0,0.429,0.6,0.571,W. AbreuRF,5,2,3,2,1,0,0,0.5,0.621,1
1120,I. HerreraC,5,1,1,3,1,0,1,0.4,0.455,1.1,K. Campbell2B,2,3,1,1,0,2,1,0.423,0.515,0.808
1121,J. WalkerRF,4,0,0,0,0,0,2,0.318,0.423,0.455,C. NarvaezC,3,0,2,2,0,2,0,0.4,0.538,0.5
1122,V. Scott IICF,3,1,0,0,0,1,1,0.308,0.367,0.462,C. RafaelaCF,4,1,0,1,0,1,0,0.115,0.179,0.115
1123,M. WinnSS,4,1,2,0,0,0,0,0.154,0.241,0.154,team,37,13,16,12,2,8,3,,,
1124,team,40,9,13,8,2,2,9,,,,,,,,,,,,,,
1125,gameId: 401695013,,,,,,,,,,,,,,,,,,,,,
1126,T. FriedlCF,5,1,1,0,0,0,1,0.207,0.258,0.207,B. Turang2B,4,1,1,2,1,0,0,0.313,0.324,0.5
1127,S. SteerDH,3,1,0,0,0,1,1,0.048,0.091,0.048,J. ChourioLF,4,0,1,0,0,0,0,0.278,0.278,0.472
1128,E. De La CruzSS,4,0,0,0,0,0,1,0.25,0.273,0.5,C. YelichDH,4,0,0,0,0,0,2,0.083,0.267,0.208
1129,C. Encarnacion-Strand1B,3,0,0,1,0,0,0,0.167,0.222,0.333,W. ContrerasC,3,0,0,0,0,1,0,0.074,0.242,0.074
1130,J. Candelario3B,3,0,1,1,0,1,0,0.214,0.29,0.25,S. FrelickRF,3,1,1,0,0,1,0,0.321,0.424,0.321
1131,B. DunnRF,1,0,0,0,0,0,0,0.1,0.182,0.1,R. Hoskins1B,1,0,0,0,0,2,1,0.158,0.36,0.158
1132,aJ. FraleyPH-RF,2,0,0,0,0,0,0,0.1,0.1,0.1,O. Dunn3B,3,0,0,0,0,0,1,0,0,0
1133,G. LuxLF,4,0,1,0,0,0,2,0.208,0.296,0.25,G. MitchellCF,3,1,2,1,0,0,1,0.278,0.381,0.333
1134,S. Espinal2B,3,0,2,0,0,1,0,0.25,0.333,0.25,J. OrtizSS,3,0,0,0,0,0,0,0.167,0.194,0.2
1135,A. WynnsC,3,0,0,0,0,0,2,0.286,0.286,0.714,team,28,3,5,3,1,4,5,,,
1136,bM. McLainPH,1,0,0,0,0,0,0,0.214,0.29,0.571,,,,,,,,,,,
1137,team,32,2,5,2,0,3,7,,,,,,,,,,,,,,
1138,gameId: 401695015,,,,,,,,,,,,,,,,,,,,,
1139,F. Tatis Jr.RF,4,0,2,0,0,0,0,0.433,0.486,0.567,I. HappLF,4,2,2,0,0,0,1,0.214,0.32,0.31
1140,L. Arraez1B,4,0,0,0,0,0,0,0.129,0.152,0.226,K. TuckerRF,2,1,0,0,0,2,0,0.308,0.449,0.744
1141,M. Machado3B,4,0,0,0,0,0,2,0.345,0.387,0.448,S. SuzukiDH,3,0,0,0,0,1,1,0.256,0.327,0.581
1142,X. BogaertsSS,3,0,0,0,0,1,0,0.2,0.355,0.28,M. Busch1B,1,0,0,0,0,1,0,0.25,0.364,0.357
1143,J. MerrillCF,4,0,2,0,0,0,1,0.429,0.452,0.714,aJ. TurnerPH-1B,1,0,1,1,0,0,0,0.273,0.429,0.273
1144,Y. GurrielDH,3,0,0,0,0,0,1,0.091,0.167,0.091,D. SwansonSS,3,0,0,0,0,1,0,0.205,0.279,0.436
1145,bG. SheetsPH,1,0,0,0,0,0,0,0.421,0.45,0.684,N. Hoerner2B,3,0,0,1,0,1,0,0.296,0.387,0.296
1146,J. Cronenworth2B,4,0,1,0,0,0,1,0.261,0.414,0.478,P. Crow-ArmstrongCF,4,0,0,0,0,0,1,0.179,0.256,0.256
1147,B. LockridgeLF,2,0,0,0,0,0,0,0.333,0.5,0.667,M. Shaw3B,3,0,0,0,0,1,0,0.189,0.302,0.297
1148,M. MaldonadoC,2,1,1,1,1,0,0,0.231,0.231,0.462,M. AmayaC,4,0,0,0,0,0,2,0.25,0.25,0.417
1149,aE. DiazPH-C,1,0,0,0,0,0,1,0.214,0.267,0.214,team,28,3,3,2,0,7,5,,,
1150,team,32,1,6,1,1,1,6,,,,,,,,,,,,,,
1151,gameId: 401695016,,,,,,,,,,,,,,,,,,,,,
1152,Y. DiazDH,4,0,1,0,0,0,2,0.167,0.188,0.2,M. Semien2B,4,1,1,1,0,0,1,0.133,0.188,0.133
1153,B. Lowe2B,4,0,2,0,0,0,1,0.321,0.367,0.536,C. SeagerSS,3,0,1,0,0,1,1,0.2,0.304,0.2
1154,J. Caminero3B,3,0,0,0,0,1,0,0.28,0.333,0.32,W. LangfordLF,2,0,0,1,0,0,0,0.25,0.313,0.464
1155,J. Aranda1B,4,0,0,0,0,0,2,0.313,0.4,0.563,J. PedersonDH,3,0,0,0,0,1,0,0.136,0.269,0.182
1156,C. MorelLF,3,1,1,0,0,1,1,0.308,0.438,0.308,A. GarcíaRF,3,0,0,0,0,0,1,0.2,0.286,0.56
1157,K. MisnerRF,4,1,1,0,0,0,1,0.333,0.316,0.611,J. Burger1B,3,0,0,0,0,0,0,0.111,0.172,0.259
1158,D. JansenC,4,0,0,0,0,0,1,0,0.158,0,J. Smith3B,3,2,2,1,1,0,0,0.25,0.294,0.5
1159,T. WallsSS,3,0,0,0,0,0,2,0.118,0.286,0.118,K. HigashiokaC,3,1,1,1,0,0,1,0.25,0.357,0.417
1160,J. DeLucaCF,3,0,1,0,0,0,1,0.421,0.476,0.526,L. TaverasCF,3,1,1,1,0,0,0,0.182,0.217,0.182
1161,team,32,2,6,0,0,2,11,,,,team,27,5,6,5,1,2,4,,,
1162,gameId: 401695017,,,,,,,,,,,,,,,,,,,,,
1163,L. ButlerRF,5,0,2,0,0,0,1,0.207,0.324,0.276,B. DoyleCF,6,0,1,0,0,0,0,0.226,0.273,0.258
1164,B. RookerDH,5,0,0,0,0,0,2,0.229,0.25,0.486,E. TovarSS,5,1,3,0,0,1,2,0.207,0.233,0.31
1165,J. BledayCF,4,2,1,0,0,1,1,0.2,0.294,0.233,R. McMahon3B,4,0,1,1,0,0,1,0.222,0.241,0.259
1166,S. LangeliersC,4,1,2,0,0,1,0,0.231,0.31,0.462,H. GoodmanDH-C,5,0,0,0,0,0,1,0.269,0.345,0.615
1167,T. Soderstrom1B,4,1,2,1,0,1,1,0.323,0.364,0.645,M. Toglia1B,4,1,2,0,0,1,2,0.148,0.207,0.185
1168,M. AndujarLF,5,0,1,0,0,0,0,0.261,0.346,0.304,K. Farmer2B,4,0,2,1,0,0,1,0.333,0.35,0.444
1169,J. WilsonSS,5,2,2,3,1,0,0,0.379,0.379,0.621,T. FreemanPR-2B,1,1,0,0,0,0,1,0,0.286,0
1170,G. Urshela3B,5,0,1,1,0,0,1,0.13,0.13,0.174,J. StallingsC,3,0,1,0,0,1,1,0.182,0.25,0.182
1171,M. Muncy2B,3,0,0,0,0,0,0,0.115,0.115,0.269,aN. MartiniPH,0,0,0,0,0,1,0,0.313,0.389,0.313
1172,aS. BrownPH,1,0,0,0,0,0,1,0.125,0.462,0.125,A. ChivilliP,0,0,0,0,0,0,0,0,0,0
1173,M. Schuemann2B,1,0,0,0,0,0,0,0,0,0,J. BirdP,0,0,0,0,0,0,0,0,0,0
1174,team,42,6,11,5,1,3,7,,,,J. BeckLF,4,0,1,1,0,1,3,0.176,0.3,0.176
1175,,,,,,,,,,,,M. MoniakRF,4,0,0,0,0,1,2,0.273,0.333,0.727
1176,,,,,,,,,,,,team,40,3,11,3,0,6,14,,,
1177,gameId: 401695018,,,,,,,,,,,,,,,,,,,,,
1178,V. RoblesRF,7,1,2,0,0,0,1,0.229,0.243,0.314,L. Wade Jr.1B,6,2,3,2,0,1,2,0.174,0.2,0.478
1179,J. RodriguezCF,6,3,3,1,1,1,0,0.25,0.417,0.536,W. AdamesSS,7,1,3,3,0,0,2,0.2,0.242,0.267
1180,C. RaleighC,4,2,1,0,0,2,0,0.143,0.294,0.25,J. LeeCF,6,1,1,1,0,0,2,0.25,0.333,0.375
1181,R. ArozarenaLF,5,0,0,1,0,1,3,0.143,0.294,0.429,M. Chapman3B,4,1,2,2,1,2,1,0.28,0.419,0.52
1182,J. Polanco3B,5,1,3,4,1,1,0,0.45,0.476,0.75,H. RamosLF,5,1,3,1,0,1,1,0.323,0.344,0.71
1183,D. Solano1B,0,0,0,0,0,0,0,0,0,0,M. YastrzemskiRF,5,0,1,0,0,1,2,0.3,0.391,0.3
1184,L. RaleyDH,6,1,2,0,0,0,1,0.222,0.333,0.389,W. FloresDH,6,1,1,0,0,0,1,0.214,0.267,0.643
1185,R. Tellez1B,2,0,0,0,0,1,0,0.083,0.2,0.083,L. MatosPR,0,1,0,0,0,0,0,0.4,0.455,0.8
1186,aD. MoorePH-1B-3B,3,0,1,0,0,0,0,0.364,0.5,0.636,P. BaileyC,5,1,3,1,0,0,0,0.222,0.333,0.333
1187,R. Bliss2B,4,0,1,0,0,0,0,0.136,0.24,0.136,C. KossPR,0,0,0,0,0,0,0,0,0.25,0
1188,bM. MastrobuoniPH-2B,2,0,1,0,0,0,0,0.333,0.333,0.333,S. HuffC,1,0,0,0,0,0,0,0,0,0
1189,J.P. CrawfordSS,4,1,1,0,0,1,3,0.136,0.321,0.136,T. Fitzgerald2B,4,1,0,0,0,1,1,0.19,0.261,0.238
1190,team,48,9,15,6,2,7,8,,,,team,49,10,17,10,1,6,12,,,
1191,gameId: 401695020,,,,,,,,,,,,,,,,,,,,,
1192,G. PerdomoSS,3,0,0,0,0,1,0,0.344,0.361,0.5,C. AbramsSS,4,0,0,0,0,0,2,0.273,0.294,0.606
1193,C. CarrollRF,3,0,0,0,0,1,0,0.235,0.366,0.559,A. Rosario2B,4,1,2,0,0,0,1,0.417,0.417,0.75
1194,L. Gurriel Jr.LF,4,0,0,0,0,0,1,0.2,0.222,0.429,N. Lowe1B,4,0,0,0,0,0,3,0.29,0.333,0.645
1195,R. GrichukDH,2,0,1,1,0,1,0,0.313,0.389,0.563,J. BellDH,2,2,1,0,0,1,1,0.143,0.25,0.321
1196,aP. SmithPH-DH,1,0,0,0,0,0,0,0.294,0.429,0.471,J. WoodLF,3,1,1,2,0,0,1,0.233,0.281,0.4
1197,J. Naylor1B,4,0,0,0,0,0,0,0.273,0.368,0.364,A. CallRF,2,0,2,2,0,1,0,0.5,0.6,0.625
1198,E. Suarez3B,2,0,0,0,0,2,1,0.2,0.351,0.733,D. CrewsCF,3,0,0,0,0,0,2,0.04,0.077,0.04
1199,G. HampsonPR,0,1,0,0,0,0,0,0.167,0.444,0.167,P. DeJong3B,3,0,0,0,0,0,3,0.19,0.261,0.286
1200,G. MorenoC,4,1,1,0,0,0,0,0.292,0.37,0.292,R. AdamsC,3,0,0,0,0,0,3,0,0,0
1201,A. ThomasCF,4,0,2,1,0,0,0,0.412,0.421,0.529,team,28,4,6,4,0,2,16,,,
1202,T. Tawa2B,3,1,1,1,0,1,0,0.333,0.5,0.333,,,,,,,,,,,
1203,team,30,3,5,3,0,6,2,,,,,,,,,,,,,,
1204,gameId: 401695021,,,,,,,,,,,,,,,,,,,,,
